filename,title,duration,bpm,beat_strength,energy,energy_variance,brightness,contrast,dynamic_range,onset_rate,bpm_norm,energy_norm,brightness_norm,onset_rate_norm,beat_strength_norm,intensity_score,warmup_score,cooldown_score,motivation_score,phase,sustain_score,cumulative_time,start_time
"Love Me - Lil Wayne, Drake, Future.m4a","Love Me   Lil Wayne, Drake, Future",264.96290249433105,123.046875,0.20958834886550903,0.688425600528717,0.06661786884069443,0.23840165224051,22.792211748041225,0.26314371824264526,2.702265084129349,0.46218487394957986,0.6217523661366352,0.6085300594976027,0.23168429283508066,0.14336455717672203,0.42141407497533523,0.9785859250246648,0.5785859250246648,0.4542422979003783,warmup,,264.96290249433105,0.0
Caroline - Aminé.m4a,Caroline   Aminé,248.89469387755102,117.45383522727273,0.22117574512958527,0.794161930680275,0.14062674343585968,0.22922206949142646,22.86878596759682,0.7272557616233826,2.4347646410579347,0.4010695187165776,0.7501150196829145,0.560152796274271,0.1506875118867886,0.17874329429260996,0.43718028797143926,0.9628197120285608,0.5628197120285607,0.5005468651798541,warmup,,513.8575963718821,264.96290249433105
"Ski - Young Stoner Life, Young Thug, Gunna.m4a","Ski   Young Stoner Life, Young Thug, Gunna",154.5055782312925,123.046875,0.37354013323783875,1.0,0.18529009819030762,0.2843789102045082,22.08414264561484,0.6185060739517212,4.427024628043283,0.46218487394957986,1.0,0.8508345270980971,0.753926309942983,0.6439435437582098,0.6910395071235593,0.7089604928764407,0.3089604928764407,0.719582958714755,sustain,0.8281655780782768,668.3631746031746,513.8575963718821
20 Min - Lil Uzi Vert.m4a,20 Min   Lil Uzi Vert,220.59972789115648,123.046875,0.4402949810028076,1.0,0.09839705377817154,0.24039726222157504,22.766606479455362,0.5759190320968628,4.768818212319169,0.46218487394957986,1.0,0.6190471115231679,0.8574184004878004,0.8477600143841268,0.7250888947855166,0.6749111052144834,0.27491110521448336,0.6999274147057566,sustain,0.8099208909092472,888.962902494331,668.3631746031746
"Yeah! (feat. Lil Jon & Ludacris) - USHER, Lil Jon, Ludacris.m4a","Yeah! (feat. Lil Jon & Ludacris)   USHER, Lil Jon, Ludacris",252.9814058956916,103.359375,0.4290459156036377,0.9273098409175873,0.06780623644590378,0.3126830495992478,24.38192453464373,0.3656935393810272,3.759169558857274,0.24705882352941178,0.9117550070714063,1.0,0.5517056701452983,0.8134142719509891,0.5770292755071323,0.8229707244928677,0.42297072449286766,0.7363203690700177,sustain,0.7926039316448636,1141.9443083900226,888.9629024943309
Myron - Lil Uzi Vert.m4a,Myron   Lil Uzi Vert,225.39609977324264,151.99908088235293,0.38039129972457886,1.0,0.15182232856750488,0.26016995431736173,22.954013091447838,0.5458638072013855,4.534239949263418,0.778546712802768,1.0,0.7232510558960497,0.7863901660303154,0.6648615837171102,0.7779929713516709,0.6220070286483291,0.2220070286483291,0.6968067310690416,sustain,0.7868868501007565,1367.3404081632652,1141.9443083900226
"Get Dripped (feat. Playboi Carti) - Lil Yachty, Playboi Carti.m4a","Get Dripped (feat. Playboi Carti)   Lil Yachty, Playboi Carti",159.26566893424035,129.19921875,0.2994304299354553,1.0,0.20743532478809357,0.24058823378189242,22.6380033823989,0.7152810096740723,4.3637778602930455,0.5294117647058824,1.0,0.6200535495818659,0.7347757450529435,0.41767116546732214,0.6891941761741504,0.7108058238258497,0.31080582382584965,0.6437828818905553,sustain,0.7819473996039934,1526.6060770975055,1367.3404081632652
"Off the Wall! - XXXTENTACION, Ski Mask The Slump God.m4a","Off the Wall!   XXXTENTACION, Ski Mask The Slump God",203.50984126984127,143.5546875,0.2857823669910431,1.0,0.1204013004899025,0.24011113614867866,23.166347337665133,0.5070366263389587,4.034202940148754,0.6862745098039216,1.0,0.6175392002463783,0.6349833585190213,0.3760007832652041,0.7057217725529932,0.6942782274470068,0.2942782274470068,0.6378207868456929,sustain,0.7804037630862184,1730.1159183673467,1526.6060770975055
"The Motto - Drake, Lil Wayne.m4a","The Motto   Drake, Lil Wayne",242.23056689342403,99.38401442307692,0.298960417509079,0.17626874148845673,0.018523799255490303,0.278539354769294,22.252001701098123,0.0887012854218483,3.104480205138037,0.20361990950226241,0.0,0.8200595215103106,0.3534714931715457,0.416236119517826,0.18139135951169055,0.7813913595116906,0.8186086404883095,0.28359607130569375,cooldown,,1972.3464852607708,1730.1159183673467
"Love Hurts (feat. Toosii) - Lil Tjay, Toosii.m4a","Love Hurts (feat. Toosii)   Lil Tjay, Toosii",246.89777777777778,92.28515625,0.2230004519224167,0.3521896153688431,0.051023755222558975,0.1796665625110551,24.782798541800265,0.5629778504371643,2.993141561059908,0.12605042016806722,0.21356585908645725,0.29899062029253287,0.319759131195874,0.1843145046375342,0.214812572345935,0.814812572345935,0.785187427654065,0.23442464846205616,cooldown,,2219.2442630385485,1972.3464852607708
