filename,title,duration,bpm,beat_strength,energy,energy_variance,brightness,contrast,dynamic_range,onset_rate
"Tell Em - Cochise, $NOT.m4a","Tell Em   Cochise, $NOT",207.40063492063493,161.4990234375,0.277446448802948,1.0,0.14064174890518188,0.21229231536219334,22.91351474392512,0.5435261130332947,3.7174428144592473
Slum Anthem - K CAMP.m4a,Slum Anthem   K CAMP,171.5025850340136,143.5546875,0.3036901652812958,0.8223161101341248,0.08301243185997009,0.18761259967687083,23.279890226111764,0.40708911418914795,3.766707072502031
GENOCIDE - Lil Darkie.m4a,GENOCIDE   Lil Darkie,632.6378231292517,117.45383522727273,0.18378199636936188,1.0,0.17486576735973358,0.25308555252772835,21.250399327574772,0.773746907711029,3.357371188295288
Money Longer - Lil Uzi Vert.m4a,Money Longer   Lil Uzi Vert,240.62839002267575,135.99917763157896,0.18916529417037964,1.0,0.14729905128479004,0.19223192957831275,23.754026885984597,0.6528118848800659,2.742818500916723
Red Room - Offset.m4a,Red Room   Offset,284.16580498866216,112.34714673913044,0.3187693953514099,1.0,0.11408204585313797,0.1517908314968395,22.39930545714917,0.5683972835540771,4.0504521648757965
"ZEZE (feat. Travis Scott & Offset) - Kodak Black, Offset, Travis Scott.m4a","ZEZE (feat. Travis Scott & Offset)   Kodak Black, Offset, Travis Scott",225.51219954648525,99.38401442307692,0.3537776470184326,1.0,0.15943624079227448,0.17232496823929985,23.43329458313443,0.6001786589622498,4.416612502574135
Myron - Lil Uzi Vert.m4a,Myron   Lil Uzi Vert,225.39609977324264,151.99908088235293,0.38039129972457886,1.0,0.15182232856750488,0.26016995431736173,22.954013091447838,0.5458638072013855,4.534239949263418
"MISS THE RAGE - XAE.Miami, Mario Judah.m4a","MISS THE RAGE   XAE.Miami, Mario Judah",236.90013605442178,151.99908088235293,0.39103609323501587,1.0,0.2660176455974579,0.23494161189954876,22.25254709501195,0.8582400679588318,4.567325363424182
GOSHA - $NOT.m4a,GOSHA   $NOT,122.64780045351473,80.74951171875,0.49015727639198303,0.879899337887764,0.16573868691921234,0.17516134830500482,21.742290356266746,0.7889153957366943,3.489667147860659
"Miss The Rage (feat. Playboi Carti) - Trippie Redd, Playboi Carti.m4a","Miss The Rage (feat. Playboi Carti)   Trippie Redd, Playboi Carti",237.88843537414965,151.99908088235293,0.2346906214952469,1.0,0.2507174015045166,0.23444108826209567,22.141368014490663,0.8105745315551758,3.8001006588579798
