filename,filepath,title,duration,bpm,beat_strength,energy,energy_variance,brightness,contrast,dynamic_range,onset_rate,workout_score,bpm_norm,energy_norm,brightness_norm,onset_rate_norm,beat_strength_norm,intensity_score,warmup_score,cooldown_score,motivation_score,phase,sustain_score,cumulative_time,start_time
My Sharona.mp3,/home/pwn/Music/Musica xioami/Music/80music/Disco Oldies - Exitos/My Sharona.mp3,My Sharona,244.1926530612245,143.5546875,0.2509598135948181,0.5022693797945976,0.0343194082379341,0.2368214542403869,21.519044803789377,0.1892598867416381,2.8297329642704323,0.0,0.5523809523809524,0.421984114137061,0.5345450650518564,0.3207412599229465,0.3250303191693892,0.40012989274676236,0.9998701072532377,0.5998701072532376,0.3760865841031229,warmup,,244.1926530612245,0.0
Nowhere man.mp3,/home/pwn/Music/Musica xioami/Music/80music/The Beatles - Exitos/Nowhere man.mp3,Nowhere man,164.31020408163266,123.046875,0.3252256512641907,0.4858244955539703,0.0287048332393169,0.2504690158889816,23.03311902121022,0.1647491306066513,3.578596979332273,0.0,0.4244897959183674,0.4028866265677067,0.5810769767861326,0.4412573662208434,0.48729785606054715,0.40042937177529603,0.999570628224704,0.599570628224704,0.4074603064899855,warmup,,408.5028571428571,244.19265306122446
"Por La Familia - Carin Leon, BorderKid.m4a","/home/pwn/Music/Musica xioami/Music/likedsongs/Por La Familia - Carin Leon, BorderKid.m4a","Por La Familia   Carin Leon, BorderKid",153.54049886621314,184.5703125,0.2971866130828857,1.0,0.136266142129898,0.1844105006274269,23.026584262543235,0.5957346558570862,5.021476455354021,0.0,0.8081632653061225,1.0,0.3558478054077781,0.6734626969749603,0.4260338105012273,0.7461706783380997,0.6538293216619003,0.2538293216619003,0.5900442063147099,peak,,562.0433560090703,408.5028571428571
Bad Boys - Inner Circle.m4a,/home/pwn/Music/Musica xioami/Music/likedsongs/Bad Boys - Inner Circle.m4a,Bad Boys   Inner Circle,229.3202721088436,172.265625,0.4103513956069946,1.0,0.1055630594491958,0.0821037784310013,22.44254245681121,0.5867570042610168,4.491534876215066,0.0,0.7314285714285714,1.0,0.007028910894312167,0.5881781935155285,0.6732938037805282,0.7325630606816473,0.6674369393183527,0.26743693931835266,0.5655463404216603,peak,,791.3636281179139,562.0433560090703
La Chica De Los 7 Vestidos - La Concentracion.MP3,/home/pwn/Music/Musica xioami/Music/80music/Cumbias Oldies - Exitos/La Chica De Los 7 Vestidos - La Concentracion.MP3,La Chica De Los 7 Vestidos   La Concentracion,151.92816326530613,103.359375,0.5040013194084167,1.0,0.0847733691334724,0.2054573989786603,21.731473098291207,0.4621238708496094,5.811957316024759,0.0,0.3017142857142857,1.0,0.42760805398380985,0.8006762811704576,0.877914702732139,0.6863640915443463,0.7136359084556537,0.3136359084556537,0.6871221385601287,sustain,0.8068189197538158,943.29179138322,791.3636281179139
Tema De Tropicalisimo - Tropicalisimo Apache.mp3,/home/pwn/Music/Musica xioami/Music/80music/Cumbias Oldies - Exitos/Tema De Tropicalisimo - Tropicalisimo Apache.mp3,Tema De Tropicalisimo   Tropicalisimo Apache,209.08408163265307,135.99917763157896,0.3884294331073761,0.9825360029935836,0.0750584751367569,0.2383661550936152,22.331563738066,0.4285474717617035,6.581084457771114,0.0,0.505263157894737,0.979719014079934,0.5398117848959599,0.9244533708783226,0.6253952952567305,0.7317940051988009,0.6682059948011991,0.2682059948011991,0.655221735854116,peak,,1152.3758730158731,943.29179138322
Myron - Lil Uzi Vert.m4a,/home/pwn/Music/Musica xioami/Music/bass english/Myron - Lil Uzi Vert.m4a,Myron   Lil Uzi Vert,225.39609977324264,151.99908088235293,0.3803912997245788,1.0,0.1518223285675048,0.2601699543173617,22.95401309144784,0.5458638072013855,4.534239949263418,0.0,0.6050420168067226,1.0,0.614152717516383,0.5950508019189774,0.6078323329827989,0.696348924530392,0.703651075469608,0.303651075469608,0.6749870633931081,sustain,0.8035318078480217,1377.7719727891158,1152.3758730158731
"Corazón Roto - Remix - Brray, JHAYCO, Ryan Castro.m4a","/home/pwn/Music/Musica xioami/Music/likedsongs/Corazón Roto - Remix - Brray, JHAYCO, Ryan Castro.m4a","Corazón Roto   Remix   Brray, JHAYCO, Ryan Castro",275.0505215419501,184.5703125,0.359585702419281,1.0,0.1300133466720581,0.227880847439621,23.877865056291768,0.5707053542137146,4.141057408706939,0.0,0.8081632653061225,1.0,0.5040617056638484,0.5317751899265002,0.5623730325261062,0.7303129947956868,0.6696870052043132,0.2696870052043132,0.6446466221004822,peak,,1652.8224943310659,1377.7719727891158
Da Da Da 90s.MP3,/home/pwn/Music/Musica xioami/Music/80music/Disco De Los 90s - Exitos En Ingles/Da Da Da 90s.MP3,Da Da Da 90s,237.9522902494331,135.99917763157896,0.3339461982250213,1.0,0.140225350856781,0.2836731035682184,20.67345821045652,0.5691342949867249,5.656596112561294,0.0,0.505263157894737,1.0,0.6942876525749834,0.7756737080268864,0.5063518615102324,0.6982397707240658,0.7017602292759342,0.30176022927593416,0.6724360098050053,sustain,0.8027575141726295,1890.774784580499,1652.8224943310659
Pedazos De Mi - Grupo Marca Registrada.m4a,/home/pwn/Music/Musica xioami/Music/MarcaRegistrada-Edicion/Pedazos De Mi - Grupo Marca Registrada.m4a,Pedazos De Mi   Grupo Marca Registrada,168.7263492063492,184.5703125,0.303701102733612,1.0,0.0864596888422966,0.1812165913511576,25.23020499448615,0.4978875517845154,3.970926907098561,0.0,0.8081632653061225,1.0,0.34495804294636795,0.5043957656198633,0.4402676793014744,0.7136601899972256,0.6863398100027744,0.2863398100027744,0.5904720496827184,peak,,2059.501133786848,1890.774784580499
Sweat (A La La La La Long) - Inner Circle.m4a,/home/pwn/Music/Musica xioami/Music/likedsongs/Sweat (A La La La La Long) - Inner Circle.m4a,Sweat (A La La La La Long)   Inner Circle,238.12063492063493,172.265625,0.317530483007431,1.0,0.0946590155363082,0.247677162678654,22.23005133132185,0.4537029266357422,4.317139505119454,0.0,0.7314285714285714,1.0,0.5715580406931494,0.5601124156732263,0.47048425726231563,0.7083857225932743,0.6916142774067258,0.29161427740672574,0.6413238013416023,peak,,2297.621768707483,2059.501133786848
Oh La La La.MP3,/home/pwn/Music/Musica xioami/Music/80music/Disco De Los 90s - Exitos En Ingles/Oh La La La.MP3,Oh La La La,213.1330612244898,129.19921875,0.3733463585376739,1.0,0.1009333208203315,0.2770793202420601,22.58529640849612,0.4858186542987823,5.147019395759284,0.0,0.46285714285714286,1.0,0.6718058824516492,0.6936665604889279,0.5924394512781389,0.679116869519606,0.720883130480394,0.32088313048039396,0.6836997199053995,sustain,0.8018665797510822,2510.754829931973,2297.621768707483
07 Pretty Maids All In A Row.mp3,/home/pwn/Music/Musica xioami/Music/80music/Eagles - Hotel California/07 Pretty Maids All In A Row.mp3,07 Pretty Maids All In A Row,246.09333333333333,99.38401442307692,0.2487280517816543,0.2293081954121589,0.037747323513031,0.1553036872179586,23.62230162062444,0.2133302688598632,1.6091455816221487,0.0,0.27692307692307694,0.10499356866509117,0.25660695145091866,0.1243098173719717,0.32015401932931903,0.18058609209427634,0.7805860920942763,0.8194139079057237,0.19281003846888192,cooldown,,2756.848163265306,2510.754829931973
Foreigner - Quiero Saber Lo Que Es El Amor.MP3,/home/pwn/Music/Musica xioami/Music/80music/Baladas Oldies - Exitos/Foreigner - Quiero Saber Lo Que Es El Amor.MP3,Foreigner   Quiero Saber Lo Que Es El Amor,294.84408163265306,80.74951171875,0.2629469037055969,0.3300932794809341,0.0339731872081756,0.1860946174304982,22.178937878212466,0.196985512971878,1.3871738504474174,0.0,0.16071428571428573,0.2220355533951911,0.3615898695543647,0.08858748566509562,0.35122157544293964,0.18819789299102682,0.7881978929910268,0.8118021070089732,0.26631095675118815,cooldown,,3051.692244897959,2756.848163265306
